variable_name,definition,economic_mechanism,expected_effect,data_source,availability_concerns,literature_bucket,preliminary_decision,stable_across_subperiods,avg_split_importance,avg_permutation_importance,final_bucket
z_TERM,Expanding z-score of TERM slope,growth expectations,higher favors cyclical outperformance,10Y and 3M yields,month-end observable,core,review,False,,,core
z_DEF,Expanding z-score of DEF spread,credit conditions,higher favors defensive outperformance,BAA and AAA yields,month-end observable,core,review,False,,,drop
z_dTERM,Expanding z-score of monthly change in TERM,policy / rates regime,rising slope favors cyclical rotation,10Y and 3M yields,month-end observable,core,review,False,,,core
z_dDEF,Expanding z-score of monthly change in DEF,funding stress,widening credit favors defensive rotation,BAA and AAA yields,month-end observable,core,drop,False,,,drop
z_VIX,Expanding z-score of VIX level,risk aversion / market stress,higher VIX favors defensive rotation,FRED VIXCLS,month-end observable,core,review,False,,,drop
z_EPU,Expanding z-score of economic policy uncertainty,policy / rates regime,higher uncertainty favors defensive rotation,USEPUINDXM,publication lag / revision risk,optional,review,False,,,optional
z_mkt_rf_3m,Expanding z-score of trailing 3M market excess return,factor momentum / factor state,strong recent market favors cyclical tilt,self-built market excess return,depends on self-built market return quality,core,review,False,,,core
z_spread_3m,Expanding z-score of trailing 3M cyclical-minus-defensive spread,factor momentum / factor state,positive spread momentum favors cyclical tilt,self-built cyclical and defensive sleeves,depends on self-built factor sleeve coverage,core,review,False,,,core
z_spread_12m,Expanding z-score of trailing 12M cyclical-minus-defensive spread,factor momentum / factor state,persistent leadership may continue,self-built cyclical and defensive sleeves,depends on self-built factor sleeve coverage,optional,review,False,,,optional
z_spread_vol_12m,Expanding z-score of trailing 12M spread volatility,factor state / instability,high spread volatility may favor defensive sleeve,self-built cyclical and defensive sleeves,depends on self-built factor sleeve coverage,core,review,False,,,drop
z_cyclical_3m,Expanding z-score of trailing 3M cyclical sleeve return,factor momentum / factor state,strong cyclical momentum favors cyclical tilt,self-built HML and SMB sleeves,coverage begins only when self-built HML and SMB are live,optional,review,False,,,optional
z_defensive_3m,Expanding z-score of trailing 3M defensive sleeve return,factor momentum / factor state,strong defensive momentum favors defensive tilt,self-built profitability and investment sleeves,depends on linked accounting-factor coverage,optional,review,False,,,optional
IP_growth_12m,12M industrial production growth,growth expectations,higher growth favors cyclical tilt,not in current files,requires extra data,drop,,,,,drop
factor_valuation_spread,Relative valuation of cyclical vs defensive factors,factor valuation or spread conditions,cheap cyclical sleeve may outperform,not in current files,requires extra data,drop,,,,,drop
